Time,Brow,Cheek,Brow Max,Cheek Max,Brow Relax,Cheek Relax,Valence Choice
23:20:00,29,14,689,866,20.5,2.0,Neutral/Unknown
23:20:01,18,11,689,866,20.5,2.0,Neutral/Unknown
23:20:01,58,1,689,866,20.5,2.0,Negative
23:20:01,11,2,689,866,20.5,2.0,Neutral/Unknown
23:20:01,24,4,689,866,20.5,2.0,Neutral/Unknown
23:20:02,30,4,689,866,20.5,2.0,Neutral/Unknown
23:20:02,19,1,689,866,20.5,2.0,Neutral/Unknown
23:20:02,21,2,689,866,20.5,2.0,Neutral/Unknown
23:20:02,16,6,689,866,20.5,2.0,Neutral/Unknown
23:20:03,8,1,689,866,20.5,2.0,Neutral/Unknown
23:20:03,5,23,689,866,20.5,2.0,Positive
23:20:03,18,7,689,866,20.5,2.0,Neutral/Unknown
23:20:03,11,9,689,866,20.5,2.0,Neutral/Unknown
23:20:03,12,27,689,866,20.5,2.0,Positive
23:20:04,23,122,689,866,20.5,2.0,Positive
23:20:04,39,75,689,866,20.5,2.0,Positive
23:20:04,17,355,689,866,20.5,2.0,Positive
23:20:04,36,39,689,866,20.5,2.0,Neutral/Unknown
23:20:05,8,121,689,866,20.5,2.0,Positive
23:20:05,20,39,689,866,20.5,2.0,Positive
23:20:05,20,44,689,866,20.5,2.0,Positive
23:20:05,17,51,689,866,20.5,2.0,Positive
23:20:05,20,27,689,866,20.5,2.0,Neutral/Unknown
23:20:06,22,135,689,866,20.5,2.0,Positive
23:20:06,22,16,689,866,20.5,2.0,Neutral/Unknown
23:20:06,9,22,689,866,20.5,2.0,Positive
23:20:06,17,24,689,866,20.5,2.0,Neutral/Unknown
23:20:07,16,29,689,866,20.5,2.0,Positive
23:20:07,50,24,689,866,20.5,2.0,Neutral/Unknown
23:20:07,24,44,689,866,20.5,2.0,Positive
23:20:07,7,30,689,866,20.5,2.0,Positive
23:20:08,17,35,689,866,20.5,2.0,Positive
23:20:08,12,67,689,866,20.5,2.0,Positive
23:20:08,10,53,689,866,20.5,2.0,Positive
23:20:08,20,102,689,866,20.5,2.0,Positive
23:20:09,21,155,689,866,20.5,2.0,Positive
23:20:09,34,297,689,866,20.5,2.0,Positive
23:20:09,14,27,689,866,20.5,2.0,Positive
23:20:09,15,27,689,866,20.5,2.0,Positive
23:20:09,11,44,689,866,20.5,2.0,Positive
23:20:10,13,10,689,866,20.5,2.0,Neutral/Unknown
23:20:10,16,37,689,866,20.5,2.0,Positive
23:20:10,11,9,689,866,20.5,2.0,Neutral/Unknown
23:20:10,21,24,689,866,20.5,2.0,Neutral/Unknown
23:20:11,22,47,689,866,20.5,2.0,Positive
23:20:11,17,13,689,866,20.5,2.0,Neutral/Unknown
23:20:11,7,20,689,866,20.5,2.0,Positive
23:20:11,13,29,689,866,20.5,2.0,Positive
23:20:11,3,6,689,866,20.5,2.0,Neutral/Unknown
23:20:12,16,71,689,866,20.5,2.0,Positive
23:20:12,16,42,689,866,20.5,2.0,Positive
23:20:12,42,140,689,866,20.5,2.0,Positive
23:20:13,33,841,689,866,20.5,2.0,Positive
23:20:13,33,853,689,866,20.5,2.0,Positive
23:20:13,22,600,689,866,20.5,2.0,Positive
23:20:13,64,47,689,866,20.5,2.0,Neutral/Unknown
