Time,Brow,Cheek,Brow Max,Cheek Max,Brow Relax,Cheek Relax,Valence Choice
23:30:39,5,16,7,18,3.5,1.0,Positive
23:30:39,2,1,7,18,3.5,1.0,Neutral/Unknown
23:30:40,4,1,7,18,3.5,1.0,Neutral/Unknown
23:30:40,2,0,7,18,3.5,1.0,Neutral/Unknown
23:30:41,2,1,7,18,3.5,1.0,Neutral/Unknown
23:30:41,2,1,7,18,3.5,1.0,Neutral/Unknown
23:30:41,3,1,7,18,3.5,1.0,Neutral/Unknown
23:30:42,3,2,7,18,3.5,1.0,Neutral/Unknown
23:30:42,5,1,7,18,3.5,1.0,Neutral/Unknown
23:30:43,1,3,7,18,3.5,1.0,Neutral/Unknown
23:30:43,1,20,7,20,3.5,1.0,Positive
23:30:44,9,10,9,20,3.5,1.0,Neutral/Unknown
23:30:44,10,19,10,20,3.5,1.0,Neutral/Unknown
23:30:45,10,12,10,20,3.5,1.0,Neutral/Unknown
23:30:45,11,30,11,30,3.5,1.0,Neutral/Unknown
23:30:45,3,19,11,30,3.5,1.0,Positive
23:30:46,15,46,15,46,3.5,1.0,Neutral/Unknown
23:30:46,7,15,15,46,3.5,1.0,Neutral/Unknown
23:30:47,3,12,15,46,3.5,1.0,Positive
23:30:47,4,26,15,46,3.5,1.0,Positive
23:30:48,5,33,15,46,3.5,1.0,Positive
23:30:48,3,12,15,46,3.5,1.0,Positive
23:30:49,2,16,15,46,3.5,1.0,Positive
23:30:49,7,19,15,46,3.5,1.0,Neutral/Unknown
23:30:50,5,36,15,46,3.5,1.0,Positive
23:30:50,5,18,15,46,3.5,1.0,Positive
23:30:51,8,18,15,46,3.5,1.0,Neutral/Unknown
23:30:51,4,12,15,46,3.5,1.0,Neutral/Unknown
23:30:51,1,1,15,46,3.5,1.0,Neutral/Unknown
23:30:52,4,1,15,46,3.5,1.0,Neutral/Unknown
23:30:52,119,1,119,46,3.5,1.0,Negative
23:30:53,165,1,165,46,3.5,1.0,Negative
23:30:53,39,1,165,46,3.5,1.0,Negative
23:30:54,148,0,165,46,3.5,1.0,Negative
23:30:54,155,1,165,46,3.5,1.0,Negative
23:30:55,83,2,165,46,3.5,1.0,Negative
23:30:55,26,1,165,46,3.5,1.0,Negative
23:30:56,33,2,165,46,3.5,1.0,Negative
23:30:56,71,2,165,46,3.5,1.0,Negative
23:30:56,869,0,869,46,3.5,1.0,Negative
23:30:57,169,0,869,46,3.5,1.0,Negative
23:30:57,68,0,869,46,3.5,1.0,Negative
23:30:58,98,0,869,46,3.5,1.0,Negative
23:30:58,102,0,869,46,3.5,1.0,Negative
23:30:59,192,1,869,46,3.5,1.0,Negative
23:30:59,61,1,869,46,3.5,1.0,Negative
23:31:00,3,1,869,46,3.5,1.0,Neutral/Unknown
23:31:00,1,0,869,46,3.5,1.0,Neutral/Unknown
23:31:00,4,2,869,46,3.5,1.0,Neutral/Unknown
23:31:01,14,51,869,51,3.5,1.0,Positive
23:31:01,6,7,869,51,3.5,1.0,Positive
23:31:02,18,8,869,51,3.5,1.0,Positive
23:31:02,18,6,869,51,3.5,1.0,Positive
23:31:03,12,31,869,51,3.5,1.0,Positive
23:31:03,25,5,869,51,3.5,1.0,Positive
23:31:04,15,7,869,51,3.5,1.0,Positive
23:31:04,7,39,869,51,3.5,1.0,Positive
23:31:04,6,27,869,51,3.5,1.0,Positive
23:31:05,9,11,869,51,3.5,1.0,Positive
23:31:05,4,12,869,51,3.5,1.0,Positive
23:31:06,5,85,869,85,3.5,1.0,Positive
23:31:06,4,17,869,85,3.5,1.0,Positive
23:31:07,3,3,869,85,3.5,1.0,Positive
23:31:07,4,0,869,85,3.5,1.0,Neutral/Unknown
23:31:08,4,0,869,85,3.5,1.0,Neutral/Unknown
23:31:08,2,0,869,85,3.5,1.0,Neutral/Unknown
23:31:09,3,1,869,85,3.5,1.0,Neutral/Unknown
23:31:09,2,1,869,85,3.5,1.0,Neutral/Unknown
23:31:09,1,1,869,85,3.5,1.0,Neutral/Unknown
23:31:10,3,1,869,85,3.5,1.0,Neutral/Unknown
23:31:10,5,1,869,85,3.5,1.0,Neutral/Unknown
23:31:11,3,1,869,85,3.5,1.0,Neutral/Unknown
23:31:11,8,1,869,85,3.5,1.0,Neutral/Unknown
23:31:12,61,1,869,85,3.5,1.0,Negative
23:31:12,3,0,869,85,3.5,1.0,Neutral/Unknown
23:31:13,3,0,869,85,3.5,1.0,Neutral/Unknown
23:31:13,4,1,869,85,3.5,1.0,Neutral/Unknown
23:31:13,2,1,869,85,3.5,1.0,Neutral/Unknown
23:31:14,1,1,869,85,3.5,1.0,Neutral/Unknown
23:31:14,1,1,869,85,3.5,1.0,Neutral/Unknown
23:31:15,6,1,869,85,3.5,1.0,Neutral/Unknown
23:31:15,0,1,869,85,3.5,1.0,Neutral/Unknown
23:31:16,2,1,869,85,3.5,1.0,Neutral/Unknown
23:31:16,11,0,869,85,3.5,1.0,Negative
23:31:17,45,1,869,85,3.5,1.0,Negative
23:31:17,209,1,869,85,3.5,1.0,Negative
23:31:17,72,1,869,85,3.5,1.0,Negative
23:31:18,3,0,869,85,3.5,1.0,Neutral/Unknown
23:31:19,2,0,869,85,3.5,1.0,Neutral/Unknown
23:31:19,3,4,869,85,3.5,1.0,Positive
23:31:20,28,1,869,85,3.5,1.0,Negative
23:31:20,16,5,869,85,3.5,1.0,Positive
23:31:20,16,10,869,85,3.5,1.0,Positive
23:31:21,21,9,869,85,3.5,1.0,Positive
